variable_code,variable_long_name,time_frequency,total_size_GB,number_of_downloads
clt,Total Cloud Fraction,mon,518.70,16743
huss,Near-Surface Specific Humidity,mon,506.96,22248
hus,Specific Humidity,day,501.58,587
cll,Low Level Cloud Fraction,6hr,491.74,602
rsut,TOA Outgoing Shortwave Radiation,6hr,488.15,1660
zg925,Geopotential Height,day,470.58,580
zg100,Geopotential Height,6hr,458.20,713
uas,Eastward Near-Surface Wind,mon,444.03,17586
vas,Northward Near-Surface Wind,mon,436.98,17425
psl,Sea Level Pressure,mon,432.76,23169
va975,Northward Wind,6hr,419.99,1128
mrso,Total Soil Moisture Content,mon,417.06,23521
ua975,Eastward Wind,6hr,411.87,1048
tasAdjust,Bias-Adjusted Near-Surface Air Temperature,day,410.85,4089
ta925,Air Temperature,day,409.43,538
sfcWindmax,Daily Maximum Near-Surface Wind Speed,mon,395.85,14859
va850,Northward Wind,mon,392.29,12113
rsdt,TOA Incident Shortwave Radiation,6hr,386.28,1819
ua850,Eastward Wind,mon,377.38,11880
va50m,Northward wind,3hr,376.20,236
rsus,Surface Upwelling Shortwave Radiation,mon,375.90,12428
rsdt,TOA Incident Shortwave Radiation,mon,375.38,16625
sst,sea surface temperature,3hr,371.39,1882
snm,Surface Snow Melt,day,367.03,8743
va500,Northward Wind,3hr,362.49,170
mrfso,Soil Frozen Water Content,day,350.10,2688
ua50m,Eastward Wind,3hr,344.65,204
prc,Convective Precipitation,1hr,320.95,672
ua500,Eastward Wind,3hr,314.65,150
mrro,Total Runoff,mon,306.54,16427
va250,,6hr,302.63,916
snd,Snow Depth,6hr,288.79,3162
ua250,,6hr,280.19,917
hus250,,6hr,268.60,859
evspsbl,Evaporation,1hr,268.17,55
va500,Northward Wind,mon,265.58,8464
mrro,Total Runoff,3hr,264.32,748
hfss,Surface Upward Sensible Heat Flux,mon,261.41,7950
hfls,Surface Upward Latent Heat Flux,mon,249.13,7602
ua500,Eastward Wind,mon,240.34,8320
rlus,Surface Upwelling Longwave Radiation,1hr,236.30,57
zg500,Geopotential Height,mon,232.93,12368
hus850,Specific Humidity,mon,232.12,9947
