variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
siconc,Sea-Ice Area Percentage (Ocean Grid),mon,SImon,30530.05,3238136
ua,Eastward Wind,3hrPt,E3hrPt,30276.17,11224
sfo3,O3 Volume Mixing Ratio in Lowest Model Layer,1hr,AERhr,30183.56,19728
ta,Air Temperature,6hr,6hrLev,29474.66,3573
hursmax,Daily Maximum Near-Surface Relative Humidity,day,day,28960.13,124552
wap,Omega (=dp/dt),6hr,6hrPlev,28858.37,9727
tsl,Temperature of Soil,day,Eday,28787.70,22062
ta,Air Temperature,subhrPt,Esubhr,28552.99,3060
o3,Mole Fraction of O3,mon,Amon,28484.22,57317
detoc,Detrital Organic Carbon Concentration,mon,Omon,28097.57,12936
tas,Near-Surface Air Temperature,1hr,AERhr,28020.55,24336
rsdo,Downwelling Shortwave Radiation in Sea Water,mon,Omon,27626.38,12922
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mon,Omon,27621.82,7533
uas,Eastward Near-Surface Wind,6hrPt,6hrPlevPt,27528.23,61828
rsds,Surface Downwelling Shortwave Radiation,mon,Amon,27279.10,2468124
sos,Sea Surface Salinity,day,Oday,27030.57,30889
tnhus,Tendency of Specific Humidity,subhrPt,Esubhr,26111.29,1822
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,mon,Omon,25833.47,8051
psl,Sea Level Pressure,3hr,E3hr,25724.16,20296
hfds,Downward Heat Flux at Sea Water Surface,mon,Omon,25581.67,767438
tos,Sea Surface Temperature,3hr,3hr,25287.03,5962
mrsos,Moisture in Upper Portion of Soil Column,day,day,25249.22,253013
tnt,Tendency of Air Temperature,subhrPt,Esubhr,24821.30,1796
wap,Omega (=dp/dt),subhrPt,Esubhr,24658.63,1817
va,Northward Wind,subhrPt,Esubhr,24496.51,1804
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,24424.64,10746
ps,Surface Air Pressure,6hrPt,6hrLev,24197.23,56777
clt,Total Cloud Cover Percentage,3hr,3hr,24101.58,29162
calc,Calcite Concentration,mon,Omon,23621.24,9467
chldiat,Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,23450.80,5946
ua,Eastward Wind,subhrPt,Esubhr,23419.18,1798
hfls,Surface Upward Latent Heat Flux,mon,Amon,23391.00,1911230
mrso,Total Soil Moisture Content,day,day,23293.65,222353
volcello,Ocean Grid-Cell Volume,mon,Omon,23125.15,22391
mmroa,Total Organic Aerosol Mass Mixing Ratio,mon,AERmon,22631.93,33665
rsus,Surface Upwelling Shortwave Radiation,3hr,3hr,22621.00,30334
ua,Eastward Wind,6hr,6hrLev,22364.53,2497
hfss,Surface Upward Sensible Heat Flux,mon,Amon,22294.21,1895914
va,Northward Wind,6hr,6hrLev,22060.17,2521
clisccp,ISCCP Cloud Area Percentage,mon,CFmon,22026.58,15687
co3satcalc,Mole Concentration of Carbonate Ion in Equilibrium with Pure Calcite in Sea Water,mon,Omon,21544.06,9100
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,mon,Omon,20639.88,4843
mrro,Total Runoff,day,day,20532.52,237268
bsi,Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mon,Omon,20472.65,6767
tdps,2m Dewpoint Temperature,day,Eday,20204.58,43637
bfe,Mole Concentration of Particulate Organic Matter Expressed as Iron in Sea Water,mon,Omon,19982.82,6986
ps,Surface Air Pressure,3hr,3hr,19729.93,18510
graz,Total Grazing of Phytoplankton by Zooplankton,mon,Omon,19551.88,7595
rsus,Surface Upwelling Shortwave Radiation,mon,Amon,19421.11,1720691
sfcwind,Near-Surface Wind Speed,mon,Amon,19050.40,1763851
tas,Near-Surface Air Temperature,6hrPt,6hrPlevPt,19010.74,62311
expfe,Sinking Particulate Iron Flux,mon,Emon,18954.89,8454
rlds,Surface Downwelling Longwave Radiation,mon,Amon,18921.85,1764777
tnt,Tendency of Air Temperature,mon,CFmon,18457.25,7911
rlut,TOA Outgoing Longwave Radiation,mon,Amon,18107.53,1725319
mc,Convective Mass Flux,day,CFday,18104.14,7602
tasmax,Daily Maximum Near-Surface Air Temperature,mon,Amon,17957.28,2482145
tntr,Tendency of Air Temperature Due to Radiative Heating,mon,CFmon,17790.01,11118
rsut,TOA Outgoing Shortwave Radiation,mon,Amon,17608.39,1566180
tnta,Tendency of Air Temperature Due to Advection,mon,CFmon,17556.95,8443
phyfe,Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mon,Omon,17427.32,6512
hurs,Near-Surface Relative Humidity,mon,Amon,17401.87,1877571
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,17217.10,3722
pr,Precipitation,6hr,6hrPlev,17031.12,26888
mrsll,Liquid Water Content of Soil Layer,day,Eday,16942.27,21051
ta,Air Temperature,3hrPt,CF3hr,16933.86,3821
tossq,Square of Sea Surface Temperature,day,Oday,16860.46,38877
mc,Convective Mass Flux,mon,Amon,16766.89,17742
tasmin,Daily Minimum Near-Surface Air Temperature,mon,Amon,16709.31,2358048
ua,Eastward Wind,6hr,6hrPlevPt,16648.28,30190
so2,SO2 Volume Mixing Ratio,mon,AERmon,16491.33,15966
va,Northward Wind,6hr,6hrPlevPt,16322.50,29339
rlus,Surface Upwelling Longwave Radiation,mon,Amon,16234.89,1487381
ua,Eastward Wind,3hr,E3hrPt,16220.03,7068
physi,Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mon,Omon,15880.90,3677
