variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
bddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,yr,Oyr,902.65,3436
phyn,Mole Concentration of Total Phytoplankton Expressed as Nitrogen in Sea Water,yr,Oyr,901.71,4622
clis,Mass Fraction of Stratiform Cloud Ice,mon,CFmon,895.64,1471
va,Northward Wind,monC,Amon,895.16,542
bddtdin,Rate of Change of Nitrogen Nutrient Due to Biological Activity,yr,Oyr,892.43,3490
sispeed,Sea-Ice Speed,mon,SImon,891.97,90329
evspsbl,Evaporation Including Sublimation and Transpiration,day,Eday,888.24,6955
bddtdip,Rate of Change of Dissolved Phosphorus Due to Biological Activity,yr,Oyr,885.90,3470
arag,Aragonite Concentration,yr,Oyr,874.96,1875
pfull,Pressure at Model Full-Levels,monC,Amon,870.61,1482
cltisccp,ISCCP Total Cloud Cover Percentage,day,CFday,864.50,2366
treefrac,Tree Cover Percentage,mon,Lmon,860.59,178392
pbsi,Biogenic Silicon Production,yr,Oyr,858.24,4252
ua100m,Eastward Wind at 100m,6hr,6hrPlev,857.82,1775
dissicos,Surface Dissolved Inorganic Carbon Concentration,mon,Omon,854.80,19033
dfeos,Surface Dissolved Iron Concentration,mon,Omon,850.18,10233
clitter,Carbon Mass in Litter Pool,mon,Lmon,847.85,157124
ppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mon,Emon,836.61,2063
siarean,Sea-Ice Area North,mon,SImon,836.47,69467
co3nat,Natural Carbonate Ion Concentration,mon,Omon,836.47,226
zg,Geopotential Height,day,EdayZ,834.77,22104
mcd,Downdraft Convective Mass Flux,mon,CFmon,834.44,2467
rls,Net Longwave Surface Radiation,mon,Emon,830.17,72929
pnitrate,Primary Carbon Production by Phytoplankton Due to Nitrate Uptake Alone,yr,Oyr,818.19,2868
sisnconc,Snow Area Percentage,mon,SImon,814.06,16393
hur,Evaporation Including Sublimation and Transpiration,day,CFday,812.03,95
ccb,Air Pressure at Convective Cloud Base,day,CFday,811.68,2343
ocontemppmdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Mesoscale Diffusion,yr,Oyr,809.05,467
chlmisc,Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,808.08,590
fediss,Particulate Source of Dissolved Iron,yr,Oyr,803.74,1091
ocontemprmadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Residual Mean Advection,yr,Oyr,800.43,549
epsi100,Downward Flux of Particulate Silicon,mon,Omon,799.12,13368
phydiat,Mole Concentration of Diatoms Expressed as Carbon in Sea Water,yr,Oyr,798.39,8462
cllcalipso,CALIPSO Low Level Cloud Cover Percentage,day,CFday,793.83,2273
hus,Specific Humidity,day,EdayZ,793.73,23460
clivi,Ice Water Path,3hr,E3hr,792.36,1609
tossq,Square of Sea Surface Temperature,mon,Omon,791.63,42664
ocontempdiff,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Dianeutral Mixing,yr,Oyr,791.29,493
dmc,Deep Convective Mass Flux,mon,CFmon,791.24,2356
pbfe,Biogenic Iron Production,yr,Oyr,777.28,4275
pon,Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,yr,Oyr,776.14,3863
va,Northward Wind,day,EdayZ,775.22,17680
co3abio,Abiotic Carbonate Ion Concentration,mon,Omon,773.50,105
po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,773.20,19594
hfevapds,Temperature Flux Due to Evaporation Expressed as Heat Flux out of Sea Water,mon,Omon,770.20,50899
expp,Sinking Particulate Organic Phosphorus Flux,yr,Oyr,766.14,1005
fric,Downward Inorganic Carbon Flux at Ocean Bottom,mon,Omon,759.88,15182
chldiatos,Surface Mass Concentration of Diatoms Expressed as Chlorophyll in Sea Water,mon,Omon,741.61,12374
sfno2,NO2 Volume Mixing Ratio in Lowest Model Layer,1hr,AERhr,737.55,1098
ocontemppadvect,Tendency of Sea Water Conservative Temperature Expressed as Heat Content Due to Parameterized Eddy Advection,yr,Oyr,737.12,456
bldep,Boundary Layer Depth,6hr,6hrPlev,734.13,9513
t2,Mean-Squared Air Temperature,mon,Emon,731.52,420
intppdiat,Net Primary Organic Carbon Production by Diatoms,mon,Omon,728.48,12724
expn,Sinking Particulate Organic Nitrogen Flux,yr,Oyr,727.87,969
thetaot,Vertically Averaged Sea Water Potential Temperature,mon,Emon,726.62,45821
prhmax,Maximum Hourly Precipitation Rate,day,Eday,712.10,2262
sfcwind,Boundary Layer Depth,day,day,711.90,2523
siextentn,Sea-Ice Extent North,mon,SImon,706.17,41099
hfrunoffds,Temperature Flux Due to Runoff Expressed as Heat Flux into Sea Water,mon,Omon,704.28,1304
prra,Rainfall Flux over Land Ice,mon,Omon,704.20,5250
cltcalipso,CALIPSO Total Cloud Cover Percentage,day,CFday,703.84,2254
mrlqso,Average Layer Fraction of Liquid Moisture,day,Eday,700.89,2322
utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag,day,EdayZ,698.91,7848
phos,Surface pH,mon,Omon,695.09,6687
o2os,Surface Dissolved Oxygen Concentration,mon,Omon,694.34,18224
opottemppsmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,mon,Emon,689.89,246
od550so4,Sulfate Aerosol Optical Depth at 550nm,mon,AERmon,689.51,32522
froc,Downward Organic Carbon Flux at Ocean Bottom,mon,Omon,687.78,12255
ptp,Tropopause Air Pressure,mon,AERmon,680.99,22895
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,subhrPt,Esubhr,680.91,178
prthetao,Sea Water Redistributed Potential Temperature,mon,Emon,676.27,391
dissi14cabio,Abiotic Dissolved Inorganic Carbon-14 Concentration,yr,Oyr,676.10,1211
talkos,Surface Total Alkalinity,mon,Omon,675.54,13824
sidmassmeltbot,Sea-Ice Mass Change Through Bottom Melting,mon,SImon,675.28,48171
od550bc,Black Carbon Optical Thickness at 550nm,mon,AERmon,663.34,30215
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,mon,Emon,659.23,704
fsfe,Surface Downward Net Flux of Iron,mon,Omon,658.19,7302
fsn,Surface Downward Net Flux of Nitrogen,mon,Omon,657.32,7320
diftrelo,Ocean Tracer Epineutral Laplacian Diffusivity,yr,Oyr,655.58,1085
pr,Precipitation,subhrPt,Esubhr,654.21,50
prhmax,Maximum Hourly Precipitation Rate,6hr,6hrPlev,650.14,595
mrros,Surface Runoff,day,Eday,648.67,6363
fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,mon,Omon,638.81,93511
mrfsofr,Average Layer Fraction of Frozen Moisture,day,Eday,635.86,2278
wap,Omega (=dp/dt),monC,Amon,634.25,406
chldiaz,Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,yr,Oyr,632.64,5359
fgco2nat,Surface Downward Mass Flux of Carbon as Natural CO2 [kgC m-2 s-1],mon,Omon,631.33,4603
ps,Surface Air Pressure,6hr,6hrLev,630.29,831
mlotstsq,Square of Ocean Mixed Layer Thickness Defined by Sigma T,mon,Omon,629.26,12112
sfpm25,PM2.5 Mass Mixing Ratio in Lowest Model Layer,1hr,AERhr,628.08,1604
hus,Specific Humidity,monC,Amon,625.87,403
zg10,Geopotential Height at 10hPa,day,AERday,624.78,1118
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,subhrPt,Esubhr,621.12,112
rsut,TOA Outgoing Shortwave Radiation,subhrPt,Esubhr,616.34,63
hfibthermds,Heat Flux into Sea Water Due to Iceberg Thermodynamics,mon,Omon,615.97,3743
zoocos,Surface Zooplankton Carbon Concentration,mon,Omon,614.66,5466
clwvic,Convective Condensed Water Path,day,Eday,607.95,381
sndmasssnf,Snow Mass Change Through Snow Fall,mon,SImon,606.99,45879
intpn2,Nitrogen Fixation Rate in Ocean,mon,Omon,606.00,19429
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,subhrPt,Esubhr,605.07,141
clmcalipso,CALIPSO Mid Level Cloud Cover Percentage,day,CFday,604.06,2173
friver,Water Flux into Sea Water from Rivers,mon,Omon,599.39,81283
rsdt,TOA Incident Shortwave Radiation,subhrPt,Esubhr,595.29,61
t20d,Depth of 20 degree Celsius Isotherm,mon,Emon,588.90,54223
phnat,Natural pH,mon,Omon,583.73,133
ci,Fraction of Time Convection Occurs in Cell,mon,Amon,582.91,9790
intvaw,Vertically Integrated Northward Moisture Transport,mon,Emon,577.61,7865
ppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,yr,Oyr,576.62,3546
epfe100,Downward Flux of Particulate Iron,mon,Omon,575.57,3867
tr,Surface Radiative Temperature,day,Eday,573.16,5263
ppos,Primary Carbon Production by Phytoplankton,mon,Omon,568.93,8495
cfadlidarsr532,CALIPSO Scattering Ratio CFAD,mon,Emon,568.12,270
utendepfd,Tendency of Eastward Wind Due to Eliassen-Palm Flux Divergence,day,EdayZ,567.58,3890
cct,Air Pressure at Convective Cloud Top,mon,Amon,564.85,27626
sitimefrac,Fraction of Time Steps with Sea Ice,mon,SImon,559.54,69663
zg100,Geopotential Height at 100hPa,day,AERday,559.32,4511
limirrdiat,Irradiance Limitation of Diatoms,mon,Omon,558.40,10614
cl,Percentage Cloud Cover,monC,Amon,557.25,192
sidmassmelttop,Sea-Ice Mass Change Through Surface Melting,mon,SImon,556.29,46457
intuaw,Vertically Integrated Eastward Moisture Transport,mon,Emon,553.26,7772
fbddtdic,Rate of Change of Dissolved Inorganic Carbon Due to Biological Activity,mon,Omon,552.46,11449
grassfrac,Natural Grass Area Percentage,mon,Lmon,550.90,114251
wtem,Transformed Eulerian Mean Upward Wind,day,EdayZ,540.26,5635
clic,Mass Fraction of Convective Cloud Ice,3hrPt,CF3hr,537.61,178
utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,day,EdayZ,537.39,5551
od550oa,Total Organic Aerosol Optical Depth at 550nm,mon,AERmon,537.04,25871
tntrscs,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,subhrPt,Esubhr,532.70,136
fbddtdin,Rate of Change of Dissolved Inorganic Nitrogen Due to Biological Activity,mon,Omon,531.02,9842
cod,Cloud Optical Depth,mon,AERmon,527.20,5495
o3ste,Stratospheric Ozone Tracer Volume Mixing Ratio,mon,AERmon,523.41,6440
ta,Air Temperature,monC,Amon,523.24,400
snm,Surface Snow Melt,mon,LImon,522.87,188599
clt,Total Cloud Cover Percentage,day,Eday,522.69,2713
clhcalipso,CALIPSO High Level Cloud Area Percentage,day,CFday,520.05,2010
phyp,Mole Concentration of Total Phytoplankton Expressed as Phosphorus in Sea Water,yr,Oyr,517.89,4128
clivic,Convective Ice Water Path,day,Eday,516.10,279
limndiat,Nitrogen Limitation of Diatoms,mon,Omon,515.34,10842
epfy,Northward Component of the Eliassen-Palm Flux,day,EdayZ,513.75,4379
fbddtdife,Rate of Change of Dissolved Inorganic Iron Due to Biological Activity,mon,Omon,513.73,9482
hfls,Surface Upward Latent Heat Flux,subhrPt,Esubhr,513.66,28
cldicemxrat,Cloud Ice Mixing Ratio,mon,Emon,512.12,198
dpo2,Delta O2 Partial Pressure,mon,Omon,511.82,9971
zmeso,Mole Concentration of Mesozooplankton Expressed as Carbon in Sea Water,yr,Oyr,508.42,6905
cl,Global Mean Mole Fraction of CFC11,day,CFday,505.26,40
drivw,Change in River Storage,day,Eday,503.79,149
sfcwindmax,Daily Maximum Near-Surface Wind Speed,mon,Emon,502.63,37928
maxpblz,Maximum PBL Height,day,AERday,500.73,8099
lwp,Liquid Water Path,mon,AERmon,499.57,26115
sifllatstop,Net Latent Heat Flux over Sea Ice,mon,SImon,497.41,7895
sidmassth,Sea-Ice Mass Change from Thermodynamics,mon,SImon,497.41,10752
fbddtdisi,Rate of Change of Dissolved Inorganic Silicon Due to Biological Activity,mon,Omon,497.27,9333
fbddtalk,Rate of Change of Biological Alkalinity Due to Biological Activity,mon,Omon,496.79,9450
sidmasstranx,X-Component of Sea-Ice Mass Transport,mon,SImon,495.25,31118
wfonocorr,Water Flux into Sea Water Without Flux Correction,mon,Omon,493.72,69319
zmicro,Mole Concentration of Microzooplankton Expressed as Carbon in Sea Water,yr,Oyr,489.65,6935
baresoilfrac,Bare Soil Percentage Area Coverage,mon,Lmon,488.01,95233
intpbfe,Iron Production,mon,Omon,485.88,8702
cfaddbze94,CloudSat Radar Reflectivity CFAD,mon,Emon,485.35,240
hfss,Surface Upward Sensible Heat Flux,subhrPt,Esubhr,482.14,27
phycalc,Mole Concentration of Calcareous Phytoplankton Expressed as Carbon in Sea Water,mon,Omon,481.91,291
thetaot300,Depth Average Potential Temperature of Upper 300m,mon,Emon,481.56,51953
cland,Total Carbon in All Terrestrial Carbon Pools,mon,Emon,480.33,73588
fbddtdip,Rate of Change of Dissolved Inorganic Phosphorus Due to Biological Activity,mon,Omon,478.86,9132
toz,Total Column Ozone,mon,AERmon,474.64,17568
o2sat,Dissolved Oxygen Concentration at Saturation,yr,Oyr,473.54,4305
mrfso,Soil Frozen Water Content,mon,Lmon,471.05,144344
cldwatmxrat,Cloud Water Mixing Ratio,mon,Emon,470.00,195
intdoc,Dissolved Organic Carbon Content,mon,Omon,466.16,11132
psitem,Transformed Eulerian Mean Mass Streamfunction,day,EdayZ,462.29,2733
sidconcth,Sea-Ice Area Percentage Tendency Due to Thermodynamics,mon,SImon,461.98,13175
emiss,Total Emission Rate of Sea-Salt Aerosol,mon,AERmon,460.31,23445
phymisc,Mole Concentration of Miscellaneous Phytoplankton Expressed as Carbon in Sea Water,yr,Oyr,459.52,6606
es,Bare Soil Evaporation,day,Eday,457.48,3388
evspsblpot,Potential Evapotranspiration,mon,Emon,457.03,48591
sfdsi,Downward Sea Ice Basal Salt Flux,mon,Omon,453.61,83034
od550ss,Sea-Salt Aerosol Optical Depth at 550nm,mon,AERmon,452.93,26114
sidconcdyn,Sea-Ice Area Percentage Tendency Due to Dynamics,mon,SImon,450.74,9742
csoillevels,Carbon Mass in Each Model Soil Level (Summed over All Soil Carbon Pools in That Level),mon,Emon,447.61,887
zo2min,Depth of Oxygen Minimum Concentration,mon,Omon,446.88,12235
intppnitrate,Primary Organic Carbon Production by Phytoplankton Based on Nitrate Uptake Alone,mon,Omon,445.21,6616
hcont300,Heat content of upper 300 meters,mon,Emon,444.98,1670
siareas,Sea-Ice Area South,mon,SImon,444.90,34839
drybc,Dry Deposition Rate of Black Carbon Aerosol Mass,mon,AERmon,442.36,14349
zg,Geopotential Height,monC,Amon,440.68,421
siitdsnthick,Snow Thickness in Ice Thickness Categories,mon,SImon,438.37,2800
siitdthick,Sea-Ice Thickness in Thickness Categories,mon,SImon,437.46,22634
drydust,Dry Deposition Rate of Dust,mon,AERmon,436.75,17158
siextents,Sea-Ice Extent South,mon,SImon,436.33,28494
chlcalc,Mass Concentration of Calcareous Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,434.61,261
sidmassevapsubl,Sea-Ice Mass Change Through Evaporation and Sublimation,mon,SImon,432.96,32592
mrtws,Terrestrial Water Storage,mon,Emon,432.63,29793
emibc,Total Emission Rate of Black Carbon Aerosol Mass,mon,AERmon,431.10,19178
vtem,Transformed Eulerian Mean Northward Wind,day,EdayZ,430.82,4595
ppdiat,Net Primary Organic Carbon Production by Diatoms,yr,Oyr,427.59,948
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating,mon,Emon,427.01,2559
zg23,Geopotential Height,primday,Primday,426.63,211
utendwtem,Tendency of Eastward Wind Due to TEM Upward Advection,day,EdayZ,426.01,2540
clwvi,Condensed Water Path,3hr,E3hr,425.89,1215
cropfrac,Percentage Crop Cover,mon,Lmon,422.16,126367
cfc12,Mole Concentration of CFC12 in Sea Water,yr,Oyr,419.35,3572
snd,Snow Depth,day,Eday,417.70,6696
hfrainds,Temperature Flux Due to Rainfall Expressed as Heat Flux into Sea Water,mon,Omon,416.22,17498
snowmxrat,Mass Fraction of Snow in Air,mon,Emon,415.86,223
loadno3,Load of NO3,day,Eday,415.58,1607
nh4os,Surface Dissolved Ammonium Concentration,mon,Omon,413.99,2498
intppmisc,Net Primary Organic Carbon Production by Other Phytoplankton,mon,Omon,413.94,10210
sidmasstrany,Y-Component of Sea-Ice Mass Transport,mon,SImon,413.47,27945
limfediat,Iron Limitation of Diatoms,mon,Omon,412.32,9955
rzwc,Root Zone Soil Moisture,day,Eday,412.05,12812
rivi,River Inflow,day,Eday,411.68,136
phyfeos,Surface Mole Concentration of Total Phytoplankton Expressed as Iron in Sea Water,mon,Omon,411.39,3545
sidmassgrowthbot,Sea-Ice Mass Change Through Basal Growth,mon,SImon,409.05,37889
utendvtem,Tendency of Eastward Wind Due to TEM Northward Advection and Coriolis Term,day,EdayZ,408.71,2525
sidmassdyn,Sea-Ice Mass Change from Dynamics,mon,SImon,405.75,13668
jpdftaureliqmodis,"MODIS Optical Thickness-Particle Size Joint Distribution, Liquid",day,Eday,405.52,391
cfc11,Mole Concentration of CFC11 in Sea Water,yr,Oyr,402.53,5109
fraclut,Percentage of Grid Cell for Each Land-Use Tile,mon,Emon,400.95,43583
mrrob,Subsurface Runoff,day,Eday,400.55,4807
epfz,Upward Component of the Eliassen-Palm Flux,day,EdayZ,399.88,4591
physios,Surface Mole Concentration of Total Phytoplankton Expressed as Silicon in Sea Water,mon,Omon,397.18,3334
sidmasssi,Sea-Ice Mass Change Through Snow-to-Ice Conversion,mon,SImon,397.17,26575
parasolrefl,PARASOL Reflectance,day,Eday,395.89,288
wetdust,Wet Deposition Rate of Dust,mon,AERmon,393.86,15270
rainmxrat,Mass Fraction of Rain in Air,mon,Emon,392.23,305
limirrmisc,Irradiance Limitation of Other Phytoplankton,mon,Omon,391.77,9520
sistrydtop,Y-Component of Atmospheric Stress on Sea Ice,mon,SImon,388.82,23623
siflswdtop,Downwelling Shortwave Flux over Sea Ice,mon,SImon,388.56,65115
msftmrho,Ocean Meridional Overturning Mass Streamfunction,mon,Omon,386.82,5923
emiso2,Total Emission Rate of SO2,mon,AERmon,385.18,19733
rls,Net Longwave Surface Radiation,day,Eday,385.00,2016
croot,Carbon Mass in Roots,mon,Lmon,381.90,57571
chldiazos,Surface Mass Concentration of Diazotrophs Expressed as Chlorophyll in Sea Water,mon,Omon,381.73,5880
dryso4,Dry Deposition Rate of SO4,mon,AERmon,379.60,14328
dissocos,Surface Dissolved Organic Carbon Concentration,mon,Omon,379.50,5235
fddtdic,Rate of Change of Net Dissolved Inorganic Carbon,mon,Omon,377.89,5348
orog,Surface Altitude,mon,Emon,374.24,38652
o2min,Oxygen Minimum Concentration,mon,Omon,372.78,11680
minpblz,Minimum PBL Height,day,AERday,371.35,5657
csoilmedium,Carbon Mass in Medium Soil Pool,mon,Lmon,370.48,36533
csoilfast,Carbon Mass in Fast Soil Pool,mon,Lmon,367.94,38703
clmisr,Percentage Cloud Cover as Calculated by the MISR Simulator (Including Error Flag),mon,Emon,364.15,837
intppdiaz,Net Primary Mole Productivity of Carbon by Diazotrophs,mon,Omon,363.41,7868
wetso4,Wet Deposition Rate of SO4,mon,AERmon,362.87,13674
od550lt1aer,Ambient Fine Aerosol Optical Depth at 550nm,mon,AERmon,362.70,25705
osaltpsmadvect,Tendency of Sea Water Salinity Expressed as Salt Content Due to Parameterized Submesoscale Advection,yr,Oyr,361.26,1050
limnmisc,Nitrogen Limitation of Other Phytoplankton,mon,Omon,360.83,9172
thetaot700,Depth Average Potential Temperature of Upper 700m,mon,Emon,360.41,36825
tntscp,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,subhrPt,Esubhr,358.92,124
sbl,Surface Snow and Ice Sublimation Flux,mon,Amon,358.44,98031
vegfrac,Total Vegetated Percentage Cover,mon,Emon,352.98,86848
pop,Mole Concentration of Particulate Organic Matter Expressed as Phosphorus in Sea Water,yr,Oyr,352.79,3516
chlmiscos,Surface Mass Concentration of Other Phytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,352.53,9904
sivoln,Sea-Ice Volume North,mon,SImon,352.28,23677
tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,subhrPt,Esubhr,352.20,100
siflfwbot,Freshwater Flux from Sea Ice,mon,SImon,351.07,12975
prw,Water Vapor Path,subhrPt,Esubhr,350.22,23
fddtdisi,Rate of Change of Net Dissolved Inorganic Silicon,mon,Omon,349.83,4667
fddtdife,Rate of Change of Net Dissolved Inorganic Iron,mon,Omon,348.41,4639
sndmassmelt,Snow Mass Rate of Change Through Melt,mon,SImon,348.06,29825
msftmzmpa,Ocean Meridional Overturning Mass Streamfunction Due to Parameterized Mesoscale Advection,mon,Omon,347.02,14446
sbl,Surface Snow and Ice Sublimation Flux,mon,LImon,346.39,115334
chlpico,Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,yr,Oyr,346.09,1876
vtendnogw,Northward Acceleration Due to Non-Orographic Gravity Wave Drag,mon,Emon,345.80,595
fddtdin,Rate of Change of Net Dissolved Inorganic Nitrogen,mon,Omon,345.46,4735
fddtalk,Rate of Change of Total Alkalinity,mon,Omon,344.68,4768
sistrxdtop,X-Component of Atmospheric Stress on Sea Ice,mon,SImon,344.55,21551
fddtdip,Rate of Change of Net Dissolved Inorganic Phosphorus,mon,Omon,343.55,4733
bldep,Boundary Layer Depth,mon,AERmon,338.10,18450
vsf,Virtual Salt Flux into Sea Water,mon,Omon,336.25,2169
thetaot2000,Depth Average Potential Temperature of Upper 2000m,mon,Emon,335.38,36056
csoilslow,Carbon Mass in Slow Soil Pool,mon,Lmon,334.87,35139
thetaoga,Global Average Sea Water Potential Temperature,mon,Omon,333.97,161228
sossq,Square of Sea Surface Salinity,mon,Omon,332.37,3640
epn100,Downward Flux of Particulate Nitrogen,mon,Omon,328.91,3033
fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],yr,Oyr,328.78,47519
phydiatos,Surface Mole Concentration of Diatoms Expressed as Carbon in Sea Water,mon,Omon,327.55,9382
rss,Net Shortwave Surface Radiation,day,Eday,326.24,2028
co3os,Surface Carbonate Ion Concentration,mon,Omon,324.34,4865
phypico,Mole Concentration of Picophytoplankton Expressed as Carbon in Sea Water,yr,Oyr,323.96,1874
pr,Precipitation,subhrPt,CFsubhr,321.56,1419
siage,Age of Sea Ice,mon,SImon,319.23,40614
dryso2,Dry Deposition Rate of SO2,mon,AERmon,318.71,13686
intpppico,Net Primary Mole Productivity of Carbon by Picophytoplankton,mon,Omon,317.41,2764
epp100,Downward Flux of Particulate Phosphorus,mon,Omon,317.03,2513
pso,Sea Water Pressure at Sea Water Surface,mon,Omon,316.48,38976
od870aer,Ambient Aerosol Optical Depth at 870nm,mon,AERmon,315.48,16756
cleaf,Carbon Mass in Leaves,mon,Lmon,315.41,45858
bsios,Surface Mole Concentration of Particulate Organic Matter Expressed as Silicon in Sea Water,mon,Omon,313.64,3734
cproduct,Carbon Mass in Products of Land-Use Change,mon,Lmon,312.74,90676
fgco2abio,Surface Downward Mass Flux of Carbon as Abiotic CO2 [kgC m-2 s-1],mon,Omon,312.53,1431
intpbsi,Silicon Production,mon,Omon,312.48,7301
hur,Evaporation Including Sublimation and Transpiration,mon,Amon,311.10,1244
emidms,Total Emission Rate of DMS,mon,AERmon,310.73,20063
ccb,Air Pressure at Convective Cloud Base,mon,Amon,310.40,6197
siflcondtop,Net Conductive Heat Flux in Ice at the Surface,mon,SImon,309.91,10590
fveglitter,Total Carbon Mass Flux from Vegetation to Litter,mon,Lmon,309.70,61830
areacello,Grid-Cell Area for Ocean Variables,fx,Ofx,307.68,130937
ffire,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change [kgC m-2 s-1],mon,Lmon,306.87,173191
et,Total Evapotranspiration,day,Eday,306.55,328
phydiaz,Mole Concentration of Diazotrophs Expressed as Carbon in Sea Water,yr,Oyr,306.18,1853
emiso4,Total Direct Emission Rate of SO4,mon,AERmon,303.49,13315
opottemppsmadvect,Tendency of Sea Water Potential Temperature Expressed as Heat Content Due to Parameterized Submesoscale Advection,yr,Oyr,302.19,901
zsatarag,Aragonite Saturation Depth,mon,Omon,296.79,2427
frfe,Iron Loss to Sediments,mon,Omon,295.30,4554
sci,Fraction of Time Shallow Convection Occurs,mon,Amon,292.86,6434
zsatcalc,Calcite Saturation Depth,mon,Omon,290.18,3863
rsutaf,TOA Outgoing Aerosol-Free Shortwave Radiation,mon,AERmon,288.93,15970
dissicnatos,Surface Natural Dissolved Inorganic Carbon Concentration,mon,Omon,288.34,2337
limfediaz,Iron Limitation of Diazotrophs,mon,Omon,287.37,4274
sisnhc,Snow Heat Content per Unit Area,mon,SImon,285.05,9194
intpoc,Particulate Organic Carbon Content,mon,Omon,284.92,9622
psl,Eastward Wind,day,day,284.87,2112
evspsbl,Evaporation Including Sublimation and Transpiration,subhrPt,CFsubhr,284.83,1132
sidmassgrowthwat,Sea-Ice Mass Change Through Growth in Supercooled Open Water (Frazil),mon,SImon,284.65,26591
rsds,Surface Downwelling Shortwave Radiation,mon,ImonGre,282.86,6969
tsn,Snow Internal Temperature,mon,LImon,282.34,134680
hfdsn,Downward Heat Flux into Snow Where Land over Land,mon,LImon,281.13,103561
wtd,Water Table Depth,mon,Emon,279.04,5330
siflcondbot,Net Conductive Heat Fluxes in Ice at the Bottom,mon,SImon,278.46,11521
cltisccp,ISCCP Total Cloud Cover Percentage,mon,CFmon,277.96,9807
spco2abio,Abiotic Surface Aqueous Partial Pressure of CO2,mon,Omon,277.85,1425
dryss,Dry Deposition Rate of Sea-Salt Aerosol,mon,AERmon,277.71,9478
intpcalcite,Calcite Production,mon,Omon,277.00,7301
frn,Nitrogen Loss to Sediments and Through Denitrification,mon,Omon,275.91,6471
loaddust,Load of Dust,mon,Emon,275.46,4841
csoilpools,Carbon Mass in Each Model Soil Pool (Summed over Vertical Levels),mon,Emon,274.45,4961
hur,Relative Humidity,monC,Amon,273.28,176
fbnf,Biological Nitrogen Fixation,mon,Emon,272.60,73448
somint,Depth Integral of Product of Sea Water Density and Prognostic Salinity,mon,Emon,271.74,3096
rsutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",mon,AERmon,270.69,17848
siflswutop,Upwelling Shortwave Flux over Sea Ice,mon,SImon,270.25,12253
chlpicoos,Surface Mass Concentration of Picophytoplankton Expressed as Chlorophyll in Sea Water,mon,Omon,268.70,2637
sihc,Sea-Ice Heat Content per Unit Area,mon,SImon,266.88,22699
sistryubot,Y-Component of Ocean Stress on Sea Ice,mon,SImon,264.32,7616
siflsensupbot,Net Upward Sensible Heat Flux Under Sea Ice,mon,SImon,263.85,4517
wetso2,Wet Deposition Rate of SO2,mon,AERmon,262.88,12149
prveg,Precipitation onto Canopy,mon,Lmon,262.16,25866
sistrxubot,X-Component of Ocean Stress on Sea Ice,mon,SImon,261.41,9516
rsds,Surface Downwelling Shortwave Radiation,mon,ImonAnt,254.41,6281
vwap,Product of Northward Wind and Omega,mon,Emon,251.92,85
intpbn,Nitrogen Production,mon,Omon,248.58,3168
ztp,Tropopause Altitude Above Geoid,mon,AERmon,248.07,11180
ponos,Surface Mole Concentration of Particulate Organic Matter Expressed as Nitrogen in Sea Water,mon,Omon,246.23,4407
wetbc,Wet Deposition Rate of Black Carbon Aerosol Mass,mon,AERmon,243.93,10665
dmsos,Surface Mole Concentration of Dimethyl Sulphide in Sea Water,mon,Omon,243.50,3398
reffclwtop,Cloud-Top Effective Droplet Radius,mon,AERmon,243.05,4920
phynos,Surface Mole Concentration of Phytoplankton Nitrogen in Sea Water,mon,Omon,242.90,2659
